consolidated_camp_name,canonical_normalized_key,prioritized_source,present_in_forms_camps_csv,forms_camps_camp_matched,forms_camps_match_type,forms_camps_match_score,present_in_dust_camps_csv,dust_camps_forms_camp_matched,dust_camps_forms_match_type,dust_camps_forms_match_score
The French Quarter,the french quarter,dust/camps_forms.csv,True,The French Quarter,source_only,1.0,True,The French Quarter,exact,1.0
The Green Room,the green room,dust/camps_forms.csv,True,The Green Room,source_only,1.0,True,The Green Room,exact,1.0
The Parlour,the parlour,dust/camps_forms.csv,True,The Parlour,source_only,1.0,True,The Parlour,exact,1.0
The Surreal Saloon,the surreal saloon,dust/camps_forms.csv,True,The Surreal Saloon,source_only,1.0,True,The Surreal Saloon,exact,1.0
The Thirsty Frog Tavern,the thirsty frog tavern,dust/camps_forms.csv,True,The Thirsty Frog Tavern,source_only,1.0,True,The Thirsty Frog Tavern,exact,1.0
The Thrifty Pickle,the thrifty pickle,dust/camps_forms.csv,True,The Thrifty Pickle,source_only,1.0,True,The Thrifty Pickle,exact,1.0
The whimsy Van winkle store,the whimsy van winkle store,forms/camps.csv,True,The whimsy Van winkle store,source_only,1.0,False,,none,0.0
Timey Wimey,timey wimey,dust/camps_forms.csv,True,Timey Wimey,source_only,1.0,True,Timey Wimey,exact,1.0
"Toys, Treats, and Tiny Things",toys treats and tiny things,dust/camps_forms.csv,True,"Toys, Treats, and Tiny Things",source_only,1.0,True,"Toys, Treats, and Tiny Things",exact,1.0
Tranquilitea,tranquilitea,dust/camps_forms.csv,True,Tranquilitea,source_only,1.0,True,Tranquilitea,exact,1.0
Victory Surreal (art support for Kozyrev Echo & Fire Cups),victory surreal art support for kozyrev echo fire cups,dust/camps_forms.csv,False,,none,0.0,True,Victory Surreal (art support for Kozyrev Echo & Fire Cups),source_only,1.0
Victory Surreal (art support for Kozyrev Echo),victory surreal art support for kozyrev echo,forms/camps.csv,True,Victory Surreal (art support for Kozyrev Echo),source_only,1.0,False,,none,0.0
Viva San Escobar!,viva san escobar,dust/camps_forms.csv,True,Viva San Escobar!,source_only,1.0,True,Viva San Escobar!,exact,1.0
Wasted Potential,wasted potential,dust/camps_forms.csv,True,Wasted Potential,source_only,1.0,True,Wasted Potential,exact,1.0
Wayward Bud,wayward bud,dust/camps_forms.csv,True,Wayward Bud,source_only,1.0,True,Wayward Bud,exact,1.0
Wood Petter's Lounge,wood petter's lounge,dust/camps_forms.csv,True,Wood Petter's Lounge,source_only,1.0,True,Wood Petter's Lounge,exact,1.0
World Spirits,world spirits,dust/camps_forms.csv,True,World Spirits,source_only,1.0,True,World Spirits,exact,1.0
camp gay,camp gay,dust/camps_forms.csv,True,camp gay,source_only,1.0,True,camp gay,exact,1.0
fablous hobo kamp,fablous hobo kamp,dust/camps_forms.csv,True,fablous hobo kamp,source_only,1.0,True,fablous hobo kamp,exact,1.0
