"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"3218","Sacred Recovery: Yoga Nidra, Stretching, and Reiki Healing","Hosted by: Grace Krauser and Shannon Robinson\nDuration: 90 minutes\nThis 90-minute class offers a holistic approach to restoration and self-reclamation, incorporating yoga nidra, gentle stretching, mindful movement, and reiki energy healing. It is designed to help participants release physical and emotional tension, rejuvenate their bodies, and realign their energies.\n\nObjective: To provide a restorative and healing space for participants to reclaim their energy and balance after the intense experience of the big burn.\n\nWorkshop Elements:\nYoga Nidra: A guided deep relaxation practice to promote profound rest and recovery. Participants will be led into a state of conscious relaxation, helping to reset their nervous systems and facilitate deep mental and emotional healing.\nGentle Stretching and Mindful Movement: Gentle stretches and mindful movements to release tension from the body, improve flexibility, and enhance body awareness. This portion focuses on slow, intentional movements that encourage participants to reconnect with their bodies and ease post-burn fatigue.\nReiki Energy Healing: Grace and Shannon will channel reiki energy to cleanse and balance participants' energy fields, promoting overall well-being and harmony. This energy work will help clear any residual stagnation and infuse participants with revitalizing life force energy.\n\nBenefits:\nPhysical Rejuvenation: Alleviate physical fatigue and tension.\nEmotional Healing: Release emotional blockages and restore inner peace.\nEnergetic Realignment: Balance and harmonize the body's energy centers.\nMental Clarity: Achieve a state of mental calm and clarity.\n\nThis class provides a sanctuary for participants to recover from the intense experiences of the burn, offering lasting tools and practices for continued well-being. By integrating yoga nidra, gentle stretching, and reiki, we create a comprehensive healing experience that supports physical, emotional, and spiritual restoration.","Class/Workshop","Hippie Haven","2024-06-23T11:00:00.000","2024-06-23T12:00:00.000","Sunday 11am-Noon (1hrs)","Sun, Jun 23","11am (1hrs)","11:00","12:00"
"3228","Peanut Butter Jelly Time","Lunch is on us! Swing by for your favorite nostalgic grab-and-go sandwich, available until supplies run out. Various nut butters and jelly combinations will be offered to fuel your Sunday.","Food & Drink","Nostalgia Under the Moonlight","2024-06-23T11:00:00.000","2024-06-23T13:00:00.000","Sunday 11am-1pm (2hrs)","Sun, Jun 23","11am (2hrs)","11:00","13:00"
"3197","Sunday Service ","Join us for an out-of-this-world Sunday Service at the Church of Cheesus Crust, where we'll transcend the ordinary with cheesy hymns and divine honesty. Discuss the religious significance which burns have in your life and break through past religious trauma in this event that will have your spirits soaring to heavenly heights!","Gathering/Party","The Church of Cheesus Crust","2024-06-23T13:00:00.000","2024-06-23T14:00:00.000","Sunday 1pm-2pm (1hrs)","Sun, Jun 23","1pm (1hrs)","13:00","14:00"
"3223","Psychedelic Integration Circle","A warm and supportive community discussion led by experienced psychedelic facilitators, offering a place to ask questions, learn best practices for safe ceremonies, share recent trip reports, and learn how to take the lessons and insights from your psychedelic journey and apply them to your daily life.","Miscellaneous","The Fun Guys","2024-06-23T13:11:00.000","2024-06-23T14:11:00.000","Sunday 1:11pm-2:11pm (1hrs)","Sun, Jun 23","1:11pm (1hrs)","13:11","14:11"
"3319","Sound Bath","Sound Journey / Sound Bath","Ritual/Ceremony","Unknown","2024-06-23T14:00:00","2024-06-23T15:00:00.000","Sunday 2pm-3pm (1hrs)","Sun, Jun 23","2pm (1hrs)","14:00","15:00"
"3267","HeartSpace: Music, Meditation & Movement w/ Ben Caron","Dive into your heart-space with guided meditation, heart-centered songs, mindful movement and joyful sing-alongs with facilitator and singer-songwriter Ben Caron.","Class/Workshop","The Fun Guys","2024-06-23T15:00:00.000","2024-06-23T16:00:00.000","Sunday 3pm-4pm (1hrs)","Sun, Jun 23","3pm (1hrs)","15:00","16:00"
"3230","Open Mic at The Fun Guys","Come share an original song or poem with The Fun Guys. Amp and Microphone provided. Bring your own instrument.","Gathering/Party","The Fun Guys","2024-06-23T15:30:00.000","2024-06-23T16:30:00.000","Sunday 3:30pm-4:30pm (1hrs)","Sun, Jun 23","3:30pm (1hrs)","15:30","16:30"
"3264","Herbal lung butter massage","Cannabis assisted breath work ","Gathering/Party","Dabs@LabCity","2024-06-23T16:20:00.000","2024-06-23T19:10:00.000","Sunday 4:20pm-7:10pm (3hrs)","Sun, Jun 23","4:20pm (3hrs)","16:20","19:10"
"3192","The Heart of Matter - a 4th Chakra Experience","Come to align, integrate and expand your energy as we drop deep into our heart centers and prepare for the Temple Burn through intention, connection, movement, meditation, breath, mantra & mudra. All are welcome.","Class/Workshop","The Fun Guys","2024-06-23T16:44:00.000","2024-06-23T17:44:00.000","Sunday 4:44pm-5:44pm (1hrs)","Sun, Jun 23","4:44pm (1hrs)","16:44","17:44"
"3303","BATS!!","Deep dive into the magical world of BATS! Learn about the ecology and behavior of bats, followed by a real time bat listening excursion in the Grotto!","Class/Workshop","That's Pretty Neat!","2024-06-23T19:00:00.000","2024-06-23T20:00:00.000","Sunday 7pm-8pm (1hrs)","Sun, Jun 23","7pm (1hrs)","19:00","20:00"
"3299","BratShit Bar","HURRICANE SHOTS - TRASH DRINKS - NO ICE, NO AFTERCARE \nBring your leftover liquor, beer, bubbly, mixers, and pasta cheese powder all day Sunday to stock our BratShit Bar! Come for the attitude, a challenge, and the last of the alcohol at the burn - if you can take it. ","Gathering/Party","Dolls To The Wall","2024-06-23T21:00:00.000","2024-06-23T22:00:00.000","Sunday 9pm-10pm (1hrs)","Sun, Jun 23","9pm (1hrs)","21:00","22:00"
