"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"23064","Metal Hour!","Need a break from the EDM while you are on the Moon? Join Camp Pretty Lights on Friday afternoon at 3pm for some METAL! \nWe'll be blasting some head-banging tunes 🎶 featuring deep cuts of our favorite bands. Bring your ID, we will have refreshments for those old enough!","Gathering/Party","Camp Pretty Lights","2026-06-05T15:00:00","2026-06-05T16:00:00","Friday 3pm-4pm (1hr)","Fri, Jun 5","3pm (1hr)","15:00","16:00"
"22994","Principles Round Table","Educational workshop discussing the principles.","Class/Workshop","Grotto - Open Community Space","2026-06-05T16:00:00","2026-06-05T17:00:00","Friday 4pm-5pm (1hr)","Fri, Jun 5","4pm (1hr)","16:00","17:00"
"23015","Interdimensional Moon Juice and Nail Art","Come wet your whistle at the Surreal Saloon! We will be serving NON-alcoholic electrolyte fueled beverages to power you through your burn. You can also partake in our nail services to dress your lovely self up for a weekend of fancy fun. Come join us for an afternoon of moon juice, nail decor, and self-care!","Arts & Crafts,Food & Drink,Miscellaneous","The Surreal Saloon","2026-06-05T16:20:00.000","2026-06-05T17:20:00.000","Friday 4:20pm-5:20pm (1hr)","Fri, Jun 5","4:20pm (1hr)","16:20","17:20"
"23046","Pickle Back Happy Hour","Come join us for pickle back happy hour! Have a shot of room temp whiskey followed by a shot of our finest ice cold pickle juice while you browse the shop or hang at the bar. We’ll keep the drinks flowing while supplies last, you just bring the cup!","Food & Drink","The Thrifty Pickle","2026-06-05T17:00:00","2026-06-05T19:00:00","Friday 5pm-7pm (2hrs)","Fri, Jun 5","5pm (2hrs)","17:00","19:00"
"23080","Tea Service in The Grotto","This year the Tea Monks will providing a mobile tea service. come have tea with a tea monk in the beautiful Grotto. or find us pedaling around The Moon.","Food & Drink","Grotto - Open Community Space","2026-06-05T17:00:00","2026-06-05T19:00:00","Friday 5pm-7pm (2hrs)","Fri, Jun 5","5pm (2hrs)","17:00","19:00"
"23090","Fire Safety Meeting","Fire performers must attend one of the fire safety meetingsand obtain a piece of Conclave swag. This swag will enable you to spin fire throughout the burn in the various camps and participate in the Conclave Saturday night. \n\nFire performers must only fire perform in designated performance areas separated from the crowd under the supervision of an aware, trained safety with blanket in hand or on the ground in front of them. Before each burn, check that your physical state (props, fuel, skills, wind speed, and clothing) and mental state (sober!) are appropriate. All Conclave participants (fire performers and fire safety volunteers, new and experienced) must attend one of the fire safety meetings listed below at the effigy field, and please bring fuel donations. There will be live fire demonstrations, so please wear fire-safe clothing.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!","Class/Workshop","Effigy Burn Field","2026-06-05T18:00:00","2026-06-05T19:00:00","Friday 6pm-7pm (1hr)","Fri, Jun 5","6pm (1hr)","18:00","19:00"
"20958","open mic","we will be hosting an open mic while cooking and serving food.","Live Music,Performance","A Little Bit All Over The Place","2026-06-05T18:00:00","2026-06-05T21:00:00","Friday 6pm-9pm (3hrs)","Fri, Jun 5","6pm (3hrs)","18:00","21:00"
"23021","Cheese Tasting","Come to the French Quarter to taste a selection of fancy and interesting cheeses you may not have tried before!","Food","The French Quarter","2026-06-05T18:00:00","2026-06-05T19:30:00","Friday 6pm-7:30pm (1.5hrs)","Fri, Jun 5","6pm (1.5hrs)","18:00","19:30"
"23047","Too Many Clowns","Are you down to clown? Prove it! Put on your big ol’ shoes and join us! Meet up at 6, walkabout at 7","Gathering/Party","The Thrifty Pickle","2026-06-05T18:00:00","2026-06-05T19:30:00","Friday 6pm-7:30pm (1.5hrs)","Fri, Jun 5","6pm (1.5hrs)","18:00","19:30"
"23012","Molten Moments: A Live Glassworking Experience","Take a captivating look into flame-worked glass, where fire and artistry converge. Watch raw glass rods transform under intense heat and delicate control into intricate forms. This demo highlights key tools, safety practices, and techniques—revealing how precision and temperature shape the craft. Perfect for newcomers and seasoned creatives, it offers a close-up view of chemistry and creativity in glowing harmony. Stay after to ask questions and explore the tools behind the magic.","Performance","Spectral Subverse","2026-06-05T19:00:00.000","2026-06-05T21:00:00.000","Friday 7pm-9pm (2hrs)","Fri, Jun 5","7pm (2hrs)","19:00","21:00"
