Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?"
,Beginning/Intermediate We Chuckin,Flow As You Go,"Friday, June 5",02:00:00 PM,03:00:00 PM,Workshop,Beginning/Intermediate We Chuckin\nNunchuks w/ Major Tom,
,Gluten Free Friday Tea Party,Garden Party,"Friday, June 5",02:00:00 PM,05:00:00 PM,Food,"Radical Inclusion through food! The Gluten Free Friday Tea Party is a celebration of and for all of us with tummy troubles! In order to avoid cross contamination, I am partnering with a bakery that describes itself as:\n\nCertified gluten-free by the National Celiac Association and entirely wheat-free, seed oil-free, nut-free, vegan, dairy-free, egg-free, seed-free & natural dyes only. \n\nWe will have all kinds of safe snacks, tea, and a social hour where you are welcome to say as much about the gory details of your tummy troubles as you want or absolutely nothing at all about them. 🩷❤️🩷",
,Sno Cones!,Banana Hammocks,"Friday, June 5",02:00:00 PM,04:00:00 PM,Event,Give your mouth the pleasure of some delicious sno cones! Bring a cup!,
,Intermediate Breaking Barriers,Flow As You Go,"Friday, June 5",03:00:00 PM,04:00:00 PM,Workshop,Intermediate Breaking Barriers\nHoops w/ Dizzy,
,Metal Hour!,Camp Pretty Lights,"Friday, June 5",03:00:00 PM,04:00:00 PM,Party,"Need a break from the EDM while you are on the Moon? Join Camp Pretty Lights on Friday afternoon at 3pm for some METAL! \nWe'll be blasting some head-banging tunes 🎶 featuring deep cuts of our favorite bands. Bring your ID, we will have refreshments for those old enough!",
,Ranger Training,Ranger HQ,"Friday, June 5",03:00:00 PM,04:30:00 PM,Workshop,"This training is intended for anyone with an Alpha Ranger, Dirt Ranger, or Khaki Ranger volunteer shift at ToTheMoon -- or anyone who just wants to learn more about these awesome volunteers. \n\nToTheMoon Rangers team is looking for quite a few volunteers to join their team! Rangers aren’t security or bouncers or police…but they are sober adults in cargo pants and matching shirts that walk the burn and assist in mediation or connecting you with the type of help you may need… These volunteers are extremely important and help keep the burn a safe space for everyone. \n\nNOTE: Please bring your own water bottle, chair/blanket, sun protection, snack, and/or stuffie to the training to exemplify your Radical Self-Reliance.",
,Sound Bath Shavasana,Sunshine Yoga Cafe,"Friday, June 5",03:00:00 PM,04:00:00 PM,Event,"Join us under the canopy for an extended Shavasana paired with an immersive sound bath. \n\nUse this time as a way to hit the reset button, restore your energy, and find calm. \n\nBring your mat, an eye mask or eye covering if you have one and prepare for shaded rest. \n\n*Note: we do have a sound camp nearby, so this sound bath may be a different sound experience- either way this will be a unique and magical experience.",
,The Burn is a Kaleidoscope,Big Fluffy Cloud,"Friday, June 5",03:00:00 PM,04:00:00 PM,Workshop,Join us at Big Fluffy Cloud to make your own open-ended kaleidoscope and see the burn in a whole new way!,
,Principles Round Table,Grotto - Open Community Space,"Friday, June 5",04:00:00 PM,05:00:00 PM,Workshop,Educational workshop discussing the principles.,
,Beginning/Intermediate Shooting Fountains Errwhere,Flow As You Go,"Friday, June 5",05:00:00 PM,06:00:00 PM,Workshop,Beginning/Intermediate Shooting Fountains Errwhere\nDragonstaff / Christal,
